Authors;Title;Year;Link;Abstract;Authors with Affiliations;aff_names;Affiliation type;Affiliation country;Western_flag;First Author Affiliation UN Category;UN Categories;dim_1;dim_2
Silvan David Peter;Online Symbolic Music Alignment With Offline Reinforcement Learning;2023;https://doi.org/10.5281/zenodo.10265367;"Symbolic Music Alignment is the process of matching performed MIDI notes to corresponding score notes. In this paper, we introduce a reinforcement learning (RL)based online symbolic music alignment technique. The RL agent — an attention-based neural network — iteratively estimates the current score position from local score and performance contexts. For this symbolic alignment task, environment states can be sampled exhaustively and the reward is dense, rendering a formulation as a simplified offline RL problem straightforward. We evaluate the trained agent in three ways. First, in its capacity to identify correct score positions for sampled test contexts; second, as the core technique of a complete algorithm for symbolic online note-wise alignment; and finally, as a real-time symbolic score follower. We further investigate the pitch-based score and performance representations used as the agent's inputs. To this end, we develop a second model, a twostep Dynamic Time Warping (DTW)-based offline alignment algorithm leveraging the same input representation. The proposed model outperforms a state-of-the-art reference model of offline symbolic music alignment.";Silvan David Peter, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Johannes Kepler University;education;AUT;NOT_FOUND;Developed economies;Developed economies;-11.523225;-34.470142
"Mathias Rose Bjare;Stefan Lattner;Gerhard Widmer";Exploring Sampling Techniques for Generating Melodies With a Transformer Language Model;2023;https://doi.org/10.5281/zenodo.10265411;Research in natural language processing has demonstrated that the quality of generations from trained autoregressive language models is significantly influenced by the used sampling strategy. In this study, we investigate the impact of different sampling techniques on musical qualities such as diversity and structure. To accomplish this, we train a high-capacity transformer model on a vast collection of highly-structured Irish folk melodies and analyze the musical qualities of the samples generated using distribution truncation sampling techniques. Specifically, we use nucleus sampling, the recently proposed typical sampling, and conventional ancestral sampling. We evaluate the effect of these sampling strategies in two scenarios: optimal circumstances with a well-calibrated model and suboptimal circumstances where we systematically degrade the model's performance. We assess the generated samples using objective and subjective evaluations. We discover that probability truncation techniques may restrict diversity and structural patterns in optimal circumstances, but may also produce more musical samples in suboptimal circumstances.;"Mathias Rose Bjare, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Stefan Lattner, Sony Computer Science Laboratories (CSL), Paris, France, company;Gerhard Widmer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education";Johannes Kepler University , Sony Computer Science Laboratories,Johannes Kepler University;education, company, education;AUT, FRA, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-8.056658;-20.966814
"Luís Carvalho;Gerhard Widmer";Passage Summarization With Recurrent Models for Audio – Sheet Music Retrieval;2023;https://doi.org/10.5281/zenodo.10265385;Many applications of cross-modal music retrieval are related to connecting sheet music images to audio recordings. A typical and recent approach to this is to learn, via deep neural networks, a joint embedding space that correlates short fixed-size snippets of audio and sheet music by means of an appropriate similarity structure. However, two challenges that arise out of this strategy are the requirement of strongly aligned data to train the networks, and the inherent discrepancies of musical content between audio and sheet music snippets caused by local and global tempo deviations. In this paper, we address these two shortcomings by designing a cross-modal recurrent network that learns joint embeddings that can summarize longer passages of corresponding audio and sheet music. The benefits of our method are that it only requires weakly aligned audio sheet music pairs, as well as that the recurrent network handles the non-linearities caused by tempo variations between audio and sheet music. We conduct a number of experiments on synthetic and real piano data and scores, showing that our proposed recurrent method leads to more accurate retrieval in all possible configurations.;"Luís Carvalho, Johannes Kepler University Linz, AUT, education;Gerhard Widmer, Johannes Kepler University Linz, AUT, education, LIT Artificial Intelligence Lab, AUT, facility";Johannes Kepler University, Johannes Kepler University;education, education;AUT, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies;-22.242317;3.829494
"Emmanouil Karystinaios;Gerhard Widmer";Roman Numeral Analysis With Graph Neural Networks: Onset-Wise Predictions From Note-Wise Features;2023;https://doi.org/10.5281/zenodo.10265357;Roman Numeral analysis is the important task of identifying chords and their functional context in pieces of tonal music. This paper presents a new approach to automatic Roman Numeral analysis in symbolic music. While existing techniques rely on an intermediate lossy representation of the score, we propose a new method based on Graph Neural Networks (GNNs) that enable the direct description and processing of each individual note in the score. The proposed architecture can leverage notewise features and interdependencies between notes but yield onset-wise representation by virtue of our novel edge contraction algorithm. Our results demonstrate that ChordGNN outperforms existing state-of-the-art models, achieving higher accuracy in Roman Numeral analysis on the reference datasets. In addition, we investigate variants of our model using proposed techniques such as NADE, and post-processing of the chord predictions. The full source code for this work is available at https://github.com/manoskary/chordgnn;"Emmanouil Karystinaios, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education;Gerhard Widmer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education";Johannes Kepler University,Johannes Kepler University;education, education;AUT, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies;-5.931086;-14.430681
"Patricia Hu;Gerhard Widmer";The Batik-Plays-Mozart Corpus: Linking Performance to Score to Musicological Annotations;2023;https://doi.org/10.5281/zenodo.10265283;"We present the Batik plays Mozart Corpus, a piano performance dataset combining professional Mozart piano sonata performances with expert-labelled scores at a note-precise level. The performances originate from a recording by Viennese pianist Roland Batik on a computer-monitored Bösendorfer grand piano, and are available both as MIDI files and audio recordings. They have been precisely aligned, note by note, with a current standard edition of the corresponding scores (the New Mozart Edition) in such a way that they can further be connected to the musicological annotations (harmony, cadences, phrases) on these scores that were recently published by [1]. The result is a high-quality, high-precision corpus mapping scores and musical structure annotations to precise note-level professional performance information. As the first of its kind, it can serve as a valuable resource for studying various facets of expressive performance and their relationship with structural aspects. In the paper, we outline the curation process of the alignment and conduct two exploratory experiments to demonstrate its usefulness in analyzing expressive performance. [1] Hentschel, J., Neuwirth, M., &amp; Rohrmeier, M. (2021). The Annotated Mozart Sonatas: Score, Harmony, and Cadence. Transactions of the International Society for Music Information Retrieval (TISMIR), Vol. 4, No. 1, pp. 67-80.";"Patricia Hu, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Gerhard Widmer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education; LIT AI Lab, Linz Institute of Technology, Austria, education";Johannes Kepler University,Johannes Kepler University,Johannes Kepler University;education, education, education;AUT, AUT, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-29.287497;-17.247593
"Francesco Foscarin;Daniel Harasim;Gerhard Widmer";Predicting Music Hierarchies With a Graph-Based Neural Decoder;2023;https://doi.org/10.5281/zenodo.10265315;This paper describes a data-driven framework to parse musical sequences into dependency trees, which are hierarchical structures used in music cognition research and music analysis. The parsing involves two steps. First, the input sequence is passed through a transformer encoder to enrich it with contextual information. Then, a classifier filters the graph of all possible dependency arcs to produce the dependency tree. One major benefit of this system is that it can be easily integrated into modern deep-learning pipelines. Moreover, since it does not rely on any particular symbolic grammar, it can consider multiple musical features simultaneously, make use of sequential context information, and produce partial results for noisy inputs. We test our approach on two datasets of musical trees -time-span trees of monophonic note sequences and harmonic trees of jazz chord sequences -and show that our approach outperforms previous methods.;"Francesco Foscarin, Johannes Kepler University Linz, AUT, education;Daniel Harasim, ;Gerhard Widmer, Johannes Kepler University Linz, AUT, education";Johannes Kepler University,unknown, Johannes Kepler University;education, unknown, education;AUT, unknown, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies;5.9348006;-5.8281603
"Jacopo de Berardinis;Valentina Anita Carriero;Albert Meroño-Peñuela;Andrea Poltronieri;Valentina Presutti";The Music Meta Ontology: A Flexible Semantic Model for the Interoperability of Music Metadata;2023;https://doi.org/10.5281/zenodo.10265423;The semantic description of music metadata is a key requirement for the creation of music datasets that can be aligned, integrated, and accessed for information retrieval and knowledge discovery. It is nonetheless an open challenge due to the complexity of musical concepts arising from different genres, styles, and periods – standing to benefit from a lingua franca to accommodate various stakeholders (musicologists, librarians, data engineers, etc.). To initiate this transition, we introduce the Music Meta ontology, a rich and flexible semantic model to describe music metadata related to artists, compositions, performances, recordings, and links. We follow eXtreme Design methodologies and best practices for data engineering, to reflect the perspectives and the requirements of various stakeholders into the design of the model, while leveraging ontology design patterns and accounting for provenance at different levels (claims, links). After presenting the main features of Music Meta, we provide a first evaluation of the model, alignments to other schema (Music Ontology, DOREMUS, Wikidata), and support for data transformation.;"Jacopo de Berardinis, King’s College London, GBR, education;Valentina Anita Carriero, University of Bologna, ITA, education;Albert Meroño-Penuela, King’s College London, GBR, education;Andrea Poltronieri, University of Bologna, ITA, education;Valentina Presutti, University of Bologna, ITA, education";King’s College London, University of Bologna, King’s College London, University of Bologna, University of Bologna;education, education, education, education, education;GBR, ITA, GBR, ITA, ITA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;-50.445717;6.6720133
"SeungHeon Doh;Keunwoo Choi;Jongpil Lee;Juhan Nam";LP-MusicCaps: LLM-Based Pseudo Music Captioning;2023;https://doi.org/10.5281/zenodo.10265311;Automatic music captioning, which generates natural language descriptions for given music tracks, holds significant potential for enhancing the understanding and organization of large volumes of musical data. Despite its importance, researchers face challenges due to the costly and time-consuming collection process of existing music-language datasets, which are limited in size. To address this data scarcity issue, we propose the use of large language models (LLMs) to artificially generate the description sentences from large-scale tag datasets. This results in approximately 2.2M captions paired with 0.5M audio clips. We term it Large Language Model based Pseudo music caption dataset, shortly, LP-MusicCaps. We conduct a systemic evaluation of the large-scale music captioning dataset with various quantitative evaluation metrics used in the field of natural language processing as well as human evaluation. In addition, we trained a transformer-based music captioning model with the dataset and evaluated it under zero-shot and transfer-learning settings. The results demonstrate that our proposed approach outperforms the supervised baseline model.;"SeungHeon Doh, Graduate School of Culture Technology, KAIST, South Korea, education;Keunwoo Choi, Gaudio Lab, Inc., South Korea, company;Jongpil Lee, Neutune, South Korea, company;Juhan Nam, Graduate School of Culture Technology, KAIST, South Korea, education";Korea Advanced Institute of Science and Technology, Gaudio Lab, Neutune, Korea Advanced Institute of Science and Technology;education, company, company, education;KOR, KOR, KOR, KOR;NOT_FOUND;Developing economies;Developing economies, Developing economies, Developing economies, Developing economies;-25.31326;-29.700062
"Haven Kim;Kento Watanabe;Masataka Goto;Juhan Nam";A Computational Evaluation Framework for Singable Lyric Translation;2023;https://doi.org/10.5281/zenodo.10265405;Lyric translation plays a pivotal role in amplifying the global resonance of music, bridging cultural divides, and fostering universal connections. Translating lyrics, unlike conventional translation tasks, requires a delicate balance between singability and semantics. In this paper, we present a computational framework for the quantitative evaluation of singable lyric translation, which seamlessly integrates musical, linguistic, and cultural dimensions of lyrics. Our comprehensive framework consists of four metrics that measure syllable count distance, phoneme repetition similarity, musical structure distance, and semantic similarity. To substantiate the efficacy of our framework, we collected a singable lyrics dataset, which precisely aligns English, Japanese, and Korean lyrics on a line-by-line and section-by-section basis, and conducted a comparative analysis between singable and non-singable lyrics. Our multidisciplinary approach provides insights into the key components that underlie the art of lyric translation and establishes a solid groundwork for the future of computational lyric translation assessment.;"Haven Kim, Graduate School of Culture Technology, KAIST, South Korea, education;Kento Watanabe, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Juhan Nam, Graduate School of Culture Technology, KAIST, South Korea, education";Korea Advanced Institute of Science and Technology, National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology, Korea Advanced Institute of Science and Technology;education, facility, facility, education;KOR, JPN, JPN, KOR;NOT_FOUND;Developing economies;Developing economies, Developed economies, Developed economies, Developing economies;24.437141;17.27176
"Bob L. T. Sturm;Arthur Flexer";A Review of Validity and Its Relationship to Music Information Research;2023;https://doi.org/10.5281/zenodo.10265219;Validity is the truth of an inference made from evidence and is a central concern in scientific work. Given the maturity of the domain of music information research (MIR), validity in our opinion should be discussed and considered much more than it has been so far. Puzzling MIR phenomena like adversarial attacks, horses, and performance glass ceilings become less mysterious through the lens of validity. In this paper, we review the subject of validity as presented in a key reference of causal inference: Shadish et al., Experimental and Quasi-experimental Designs for Generalised Causal Inference [1]. We discuss the four types of validity and threats to each one. We consider them in relationship to MIR experiments grounded with a practical demonstration using a typical MIR experiment.;"Bob L. T. Sturm, KTH Stockholm, Sweden, education;Arthur Flexer, Johannes Kepler University Linz, Austria, education";KTH Royal Institute of Technology, Johannes Kepler University;education, education;SWE, AUT;NOT_FOUND;Developed economies;Developed economies, Developed economies;-36.133514;26.708235
"Alberto Acquilino;Ninad Puranik;Ichiro Fujinaga;Gary Scavone";A Dataset and Baseline for Automated Assessment of Timbre Quality in Trumpet Sound;2023;https://doi.org/10.5281/zenodo.10265381;Music Performance Analysis is based on the evaluation of performance parameters such as pitch, dynamics, timbre, tempo and timing. While timbre is the least specific parameter among these and is often only implicitly understood, prominent brass pedagogues have reported that the presence of excessive muscle tension and inefficiency in playing by a musician is reflected in the timbre quality of the sound produced. In this work, we explore the application of machine learning to automatically assess timbre quality in trumpet playing, given both its educational value and connection to performance quality. An extensive dataset consisting of more than 19,000 tones played by 110 trumpet players of different expertise has been collected. A subset of 1,481 tones from this dataset was labeled by eight professional graders on a scale of 1 to 4 based on the perceived efficiency of sound production. Statistical analysis is performed to identify the correlation among the assigned ratings by the expert graders. A Random Forest classifier is trained using the mode of the ratings and its accuracy and variability is assessed with respect to the variability in human graders as a reference. An analysis of the important discriminatory features identifies stability of spectral peaks as a critical factor in trumpet timbre quality.;"Alberto Acquilino, Schulich School of Music, McGill University, CAN, education, Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), CAN, facility;Ninad Puranik, Schulich School of Music, McGill University, CAN, education, Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), CAN, facility;Ichiro Fujinaga, Schulich School of Music, McGill University, CAN, education;Gary Scavone, Schulich School of Music, McGill University, CAN, education";McGill University,McGill University,McGill University,McGill University;education, education, education, education;CAN, CAN, CAN, CAN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;28.85717;-21.081558
"Peter van Kranenburg;Eoin J. Kearns";Algorithmic Harmonization of Tonal Melodies Using Weighted Pitch Context Vectors;2023;https://doi.org/10.5281/zenodo.10265307;Most melodies from the Western common practice period have a harmonic background, i.e., a succession of chords that fit the melody. In this paper we provide a novel approach to infer this harmonic background from the score notation of a melody. We first construct a pitch context vector for each note in the melody. This vector summarises the pitches that are in the preceding and following contexts of the note. Next, we use these pitch context vectors to generate a list of candidate chords for each note. The candidate chords fit the pitch context of a given note each with a computed strength. Finally, we find an optimal path through the chord candidates, employing a score function for the fitness of a given candidate chord. The algorithm chooses one chord for each note, optimizing the total score. A set of heuristics is incorporated in the score function. The system is heavily parameterised, extremely flexible, and does not need training. This creates a framework to experiment with harmonization of melodies. The output is evaluated by an expert survey, which yields convincing and positive results.;"Peter van Kranenburg, Meertens Institute, Utrecht University, NLD, education;Eoin Kearns, Meertens Institute, NLD, facility";Meertens Institute, Meertens Institute;facility, facility;NLD, NLD;FOUND;Developed economies;Developed economies, Developed economies;-9.746873;-19.694473
"Igor Pereira;Felipe Araújo;Filip Korzeniowski;Richard Vogl";MoisesDB: A Dataset for Source Separation Beyond 4-Stems;2023;https://doi.org/10.5281/zenodo.10265363;In this paper, we introduce the MoisesDB dataset for musical source separation. It consists of 240 tracks from 45 artists, covering twelve musical genres. For each song, we provide its individual audio sources, organized in a two-level hierarchical taxonomy of stems. This will facilitate building and evaluating fine-grained source separation systems that go beyond the limitation of using four stems (drums, bass, other, and vocals) due to lack of data. To facilitate the adoption of this dataset, we publish an easy-to-use Python library to download, process and use MoisesDB. Alongside a thorough documentation and analysis of the dataset contents, this work provides baseline results for open-source separation models for varying separation granularities (four, five, and six stems), and discuss their results.;"Igor Pereira, Moises Systems Inc., USA, company;Felipe Araújo, Moises Systems Inc., USA, company;Filip Korzeniowski, Moises Systems Inc., USA, company;Richard Vogl, Moises Systems Inc., USA, company";Moises Systems Inc., Moises Systems Inc., Moises Systems Inc., Moises Systems Inc.;company, company, company, company;USA, USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;44.892097;-22.157375
"Sehun Kim;Kazuya Takeda;Tomoki Toda";Sequence-to-Sequence Network Training Methods for Automatic Guitar Transcription With Tokenized Outputs;2023;https://doi.org/10.5281/zenodo.10265341;We propose multiple methods for effectively training a sequence-to-sequence automatic guitar transcription model which uses tokenized music representation as an output. Our proposed method mainly consists of 1) a hybrid CTC-Attention model for sequence-to-sequence automatic guitar transcription that uses tokenized music representation, and 2) two data augmentation methods for training the model. Our proposed model is a generic encoder-decoder Transformer model but adopts multi-task learning with CTC from the encoder to speed up learning alignments between the output tokens and acoustic features. Our proposed data augmentation methods scale up the amount of training data by 1) creating bar overlap when splitting an excerpt to be used for network input, and 2) by utilizing MIDI-only data to synthetically create audio-MIDI pair data. We confirmed that 1) the proposed data augmentation methods were highly effective for training generic Transformer models that generate tokenized outputs, 2) our proposed hybrid CTC-Attention model outperforms conventional methods that transcribe guitar performance with tokens, and 3) the addition of multi-task learning with CTC in our proposed model is especially effective when there is an insufficient amount of training data.;"Sehun Kim, Nagoya University, JPN, education;Kazuya Takeda, Nagoya University, JPN, education;Tomoki Toda, Nagoya University, JPN, education";Nagoya University, Nagoya University, Nagoya University;education, education, education;JPN, JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;34.803726;-40.883842
"Kento Watanabe;Masataka Goto";Text-to-Lyrics Generation With Image-Based Semantics and Reduced Risk of Plagiarism;2023;https://doi.org/10.5281/zenodo.10265309;This paper proposes a text-to-lyrics generation method, aiming to provide lyric writing support by suggesting the generated lyrics to users who struggle to find the right words to convey their message. Previous studies on lyrics generation have focused on generating lyrics based on semantic constraints such as specific keywords, lyric style, and topics. However, these methods had limitations because users could not freely input their intentions as text. Even if such intentions can be given as input text, the lyrics generated from the input tend to contain similar wording, making it difficult to inspire the user. Our method is therefore developed to generate lyrics that (1) convey a message similar to the input text and (2) contain wording different from the input text. A straightforward approach of training a text-to-lyrics encoder-decoder is not feasible since there is no text-lyric paired data for this purpose. To overcome this issue, we divide the text-to-lyrics generation process into a two-step pipeline, eliminating the need for text-lyric paired data. (a) First, we use an existing text-to-image generation technique as a text analyzer to obtain an image that captures the meaning of the input text, ignoring the wording. (b) Next, we use our proposed image-to-lyrics encoder-decoder (I2L) to generate lyrics from the obtained image while preserving its meaning. The training of this I2L model only requires pairs of lyrics and images generated from lyrics, which are readily prepared. In addition, we propose for the first time a lyrics generation method that reduces the risk of plagiarism by prohibiting the generation of uncommon phrases in the training data. Experimental results show that the proposed method can generate lyrics with different phrasing while conveying a message similar to the input text.;"Kento Watanabe, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility";National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology;facility, facility;JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies;3.6092346;49.366077
"Tian Cheng;Masataka Goto";Transformer-Based Beat Tracking With Low-Resolution Encoder and High-Resolution Decoder;2023;https://doi.org/10.5281/zenodo.10265325;In this paper, we address the beat tracking task which is to predict beat times corresponding to the input audio. Due to the long sequential inputs, it is still challenging to model the global structure efficiently and to deal with the data imbalance between beats and no beats. In order to meet the above challenges, we propose a novel Transformer-based model consisting of a low-resolution encoder and a high-resolution decoder. The encoder with low temporal resolution is suited to capture global features with more balanced data. The decoder with high temporal resolution is designed to predict beat times at a desired resolution. In the decoder, the global structure is considered by the cross attention between the global features and high-dimensional features. There are two key modifications in the proposed model: (1) adding 1D convolutional layers in the encoder and (2) replacing positional embedding by the upsampled encoder features in the decoder. In the experiment, we achieved the state-of-the-art performance and showed that the decoder produced more precise and stable results.;"Tian Cheng, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility";National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology;facility, facility;JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies;56.720676;5.227947
"Tomoyasu Nakano;Masataka Goto";Music Source Separation With MLP Mixing of Time, Frequency, and Channel;2023;https://doi.org/10.5281/zenodo.10265417;This paper proposes a new music source separation (MSS) model based on an architecture with MLP-Mixer that leverages multilayer perceptrons (MLPs). Most of the recent MSS techniques are based on architectures with CNNs, RNNs, and attention-based transformers that take waveforms or complex spectrograms or both as inputs. For the growth of the research field, we believe it is important to study not only the current established methodologies but also diverse perspectives. Therefore, since the MLP-Mixer-based architecture has been reported to perform as well as or better than architectures with CNNs and transformers in the computer vision field despite the MLP's simple computation, we report a way to effectively apply such an architecture to MSS as a reusable insight. In this paper we propose a model called TFC-MLP, which is a variant of the MLP-Mixer architecture that preserves time-frequency positional relationships and mixes time, frequency, and channel dimensions separately, using complex spectrograms as input. The TFC-MLP was evaluated with source-to-distortion ratio (SDR) using the MUSDB18-HQ dataset. Experimental results showed that the proposed model can achieve competitive SDRs when compared with state-of-the-art MSS models.;"Tomoyasu Nakano, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility";National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology;facility, facility;JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies;41.896286;-20.276917
"Kosetsu Tsukuda;Masahiro Hamasaki;Masataka Goto";Chorus-Playlist: Exploring the Impact of Listening to Only Choruses in a Playlist;2023;https://doi.org/10.5281/zenodo.10265403;When people listen to playlists on a music streaming service, they typically listen to each song from start to end in order. However, what if it were possible to use a function to listen to only the choruses of each song in a playlist one after another? In this paper, we call this music listening concept chorus-playlist, and we investigate its potential impact from various perspectives such as the demand and the objectives for listening to music with chorus-playlist. To this end, we conducted a questionnaire-based online user survey involving 214 participants. Our analysis results suggest reusable insights, including the following: (1) We show a high demand for listening to existing playlists with the chorus-playlist approach. We also reveal preferred options for chorus playback, such as adding crossfade transitions between choruses. (2) People listen to playlists with chorus-playlist for various objectives. For example, when they listen to their own self-made playlists, they want to boost a mood or listen to music in a specific context such as work or driving. (3) There is also a high demand for playlist creation on the premise of continuous listening to only the choruses of the songs in a playlist. The diversities of artists, genres, and moods are more important when creating such a playlist than when creating a usual playlist.;"Kosetsu Tsukuda, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Masahiro Hamasaki, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), Japan, facility";National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology;facility, facility, facility;JPN, JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-33.69913;34.62491
"Kosetsu Tsukuda;Tomoyasu Nakano;Masahiro Hamasaki;Masataka Goto";Unveiling the Impact of Musical Factors in Judging a Song on First Listen: Insights From a User Survey;2023;https://doi.org/10.5281/zenodo.10265351;"When a user listens to a song for the first time, what musical factors (e.g., melody, tempo, and lyrics) influence the user's decision to like or dislike the song? An answer to this question would enable researchers to more deeply understand how people interact with music. Thus, in this paper, we report the results of an online survey involving 302 participants to investigate the influence of 10 musical factors. We also evaluate how a user's personal characteristics (i.e., personality traits and musical sophistication) relate to the importance of each factor for the user. Moreover, we propose and evaluate three factor-based functions that would enable more effectively browsing songs on a music streaming service. The user survey results provide several reusable insights, including the following: (1) for most participants, the melody and singing voice are important factors in judging whether they like a song on first listen; (2) personal characteristics do influence the important factors (e.g., participants who have high openness and are sensitive to beat deviations emphasize melody); and (3) the proposed functions each have a certain level of demand because they enable users to easily find music that fits their tastes. We have released part of the survey results as publicly available data so that other researchers can reproduce the results and analyze the data from their own viewpoints.";"Kosetsu Tsukuda, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Tomoyasu Nakano, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Masahiro Hamasaki, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility;Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST), JPN, facility";National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology, National Institute of Advanced Industrial Science and Technology;facility, facility, facility, facility;JPN, JPN, JPN, JPN;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-34.668915;32.029938
"Charilaos Papaioannou;Emmanouil Benetos;Alexandros Potamianos";From West to East: Who Can Understand the Music of the Others Better?;2023;https://doi.org/10.5281/zenodo.10265287;Recent developments in MIR have led to several benchmark deep learning models whose embeddings can be used for a variety of downstream tasks. At the same time, the vast majority of these models have been trained on Western pop/rock music and related styles. This leads to research questions on whether these models can be used to learn representations for different music cultures and styles, or whether we can build similar music audio embedding models trained on data from different cultures or styles. To that end, we leverage transfer learning methods to derive insights about the similarities between the different music cultures to which the data belongs to. We use two Western music datasets, two traditional/folk datasets coming from eastern Mediterranean cultures, and two datasets belonging to Indian art music. Three deep audio embedding models are trained and transferred across domains, including two CNN-based and a Transformer-based architecture, to perform auto-tagging for each target domain dataset. Experimental results show that competitive performance is achieved in all domains via transfer learning, while the best source dataset varies for each music culture. The implementation and the trained models are both provided in a public repository.;"Charilaos Papaioannou, School of ECE, National Technical University of Athens, GRC, education, Centre for Digital Music, Queen Mary University of London, GBR, education;Emmanouil Benetos, Centre for Digital Music, Queen Mary University of London, GBR, education;Alexandros Potamianos, School of ECE, National Technical University of Athens, GRC, education";National Technical University of Athens, Queen Mary University of London, National Technical University of Athens;education, education, education;GRC, GBR, GRC;FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-28.7151;24.917467
"Li-Yang Tseng;Tzu-Ling Lin;Hong-Han Shuai;Jen-Wei Huang;Wen-Whei Chang";A Dataset and Baselines for Measuring and Predicting the Music Piece Memorability;2023;https://doi.org/10.5281/zenodo.10265251;Nowadays, humans are constantly exposed to music, whether through voluntary streaming services or incidental encounters during commercial breaks. Despite the abundance of music, certain pieces remain more memorable and often gain greater popularity. Inspired by this phenomenon, we focus on measuring and predicting music memorability. To achieve this, we collect a new music piece dataset with reliable memorability labels using a novel interactive experimental procedure. We then train baselines to predict and analyze music memorability, leveraging both interpretable features and audio mel-spectrograms as inputs. To the best of our knowledge, we are the first to explore music memorability using data-driven deep learning-based methods. Through a series of experiments and ablation studies, we demonstrate that while there is room for improvement, predicting music memorability with limited data is possible. Certain intrinsic elements, such as higher valence, arousal, and faster tempo, contribute to memorable music. As prediction techniques continue to evolve, real-life applications like music recommendation systems and music style transfer will undoubtedly benefit from this new area of research.;"Li-Yang Tseng, National Yang Ming Chiao Tung University, Taiwan, education;Tzu-Ling Lin, National Yang Ming Chiao Tung University, Taiwan, education;Hong-Han Shuai, National Yang Ming Chiao Tung University, Taiwan, education;Jen-Wei Huang, National Yang Ming Chiao Tung University, Taiwan, education;Wen-Whei Chang, National Yang Ming Chiao Tung University, Taiwan, education";National Yang Ming Chiao Tung University, National Yang Ming Chiao Tung University, National Yang Ming Chiao Tung University, National Yang Ming Chiao Tung University, National Yang Ming Chiao Tung University;education, education, education, education, education;TWN, TWN, TWN, TWN, TWN;NOT_FOUND;Developing economies;Developing economies, Developing economies, Developing economies, Developing economies, Developing economies;-27.075823;-7.233369
